season,week,window_start,window_end,source_url
24,7,2017-05-01,2017-05-07,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
24,8,2017-05-08,2017-05-14,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
24,9,2017-05-15,2017-05-21,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
24,10,2017-05-22,2017-05-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
25,1,2017-09-18,2017-09-24,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,2,2017-09-25,2017-09-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,3,2017-09-26,2017-10-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,4,2017-10-02,2017-10-08,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,5,2017-10-09,2017-10-15,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,6,2017-10-16,2017-10-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,7,2017-10-23,2017-10-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,8,2017-10-30,2017-11-05,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,9,2017-11-06,2017-11-12,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
25,10,2017-11-13,2017-11-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_25)
26,1,2018-04-30,2018-05-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_26)
26,2,2018-05-07,2018-05-13,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_26)
26,3,2018-05-14,2018-05-20,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_26)
26,4,2018-05-21,2018-05-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_26)
27,1,2018-09-24,2018-09-24,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
27,2,2018-09-25,2018-09-30,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
27,3,2018-10-01,2018-10-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
27,4,2018-10-02,2018-10-07,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
27,5,2018-10-08,2018-10-14,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
27,6,2018-10-15,2018-10-21,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
27,7,2018-10-22,2018-10-28,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
27,8,2018-10-29,2018-11-04,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
27,9,2018-11-05,2018-11-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_27)
28,1,2019-09-16,2019-09-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,2,2019-09-23,2019-09-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,3,2019-09-30,2019-10-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,4,2019-10-07,2019-10-13,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,5,2019-10-14,2019-10-20,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,6,2019-10-21,2019-10-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,7,2019-10-28,2019-11-03,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,8,2019-11-04,2019-11-10,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,9,2019-11-11,2019-11-17,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,10,2019-11-18,2019-11-24,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
28,11,2019-11-25,2019-12-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_28)
29,1,2020-09-14,2020-09-21,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,2,2020-09-22,2020-09-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,3,2020-09-28,2020-10-04,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,4,2020-10-05,2020-10-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,5,2020-10-12,2020-10-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,6,2020-10-19,2020-10-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,7,2020-10-26,2020-11-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,8,2020-11-02,2020-11-08,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,9,2020-11-09,2020-11-15,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,10,2020-11-16,2020-11-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
29,11,2020-11-23,2020-11-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_29)
