season,week,celebrity,trend,timeframe,kw
3,2,Joey Lawrence,20.142857142857142,2006-09-19 2006-09-25,Joey Lawrence Dancing with the Stars
3,2,Mario Lopez,24.285714285714285,2006-09-19 2006-09-25,Mario Lopez Dancing with the Stars
3,2,Monique Coleman,,2006-09-19 2006-09-25,Monique Coleman Dancing with the Stars
3,2,Sara Evans,14.285714285714286,2006-09-19 2006-09-25,Sara Evans Dancing with the Stars
3,2,Shanna Moakler,26.571428571428573,2006-09-19 2006-09-25,Shanna Moakler Dancing with the Stars
3,2,Tucker Carlson,,2006-09-19 2006-09-25,Tucker Carlson Dancing with the Stars
3,2,Vivica A. Fox,,2006-09-19 2006-09-25,Vivica A. Fox Dancing with the Stars
3,2,Willa Ford,24.285714285714285,2006-09-19 2006-09-25,Willa Ford Dancing with the Stars
3,3,Emmitt Smith,,2006-09-26 2006-10-02,Emmitt Smith Dancing with the Stars
3,3,Harry Hamlin,,2006-09-26 2006-10-02,Harry Hamlin Dancing with the Stars
3,3,Jerry Springer,,2006-09-26 2006-10-02,Jerry Springer Dancing with the Stars
3,3,Joey Lawrence,14.285714285714286,2006-09-26 2006-10-02,Joey Lawrence Dancing with the Stars
3,3,Mario Lopez,20.0,2006-09-26 2006-10-02,Mario Lopez Dancing with the Stars
3,3,Monique Coleman,28.142857142857142,2006-09-26 2006-10-02,Monique Coleman Dancing with the Stars
3,3,Sara Evans,24.0,2006-09-26 2006-10-02,Sara Evans Dancing with the Stars
3,3,Shanna Moakler,,2006-09-26 2006-10-02,Shanna Moakler Dancing with the Stars
3,3,Tucker Carlson,,2006-09-26 2006-10-02,Tucker Carlson Dancing with the Stars
3,3,Vivica A. Fox,,2006-09-26 2006-10-02,Vivica A. Fox Dancing with the Stars
3,3,Willa Ford,22.857142857142858,2006-09-26 2006-10-02,Willa Ford Dancing with the Stars
3,4,Emmitt Smith,,2006-10-03 2006-10-09,Emmitt Smith Dancing with the Stars
3,4,Harry Hamlin,,2006-10-03 2006-10-09,Harry Hamlin Dancing with the Stars
3,4,Jerry Springer,14.285714285714286,2006-10-03 2006-10-09,Jerry Springer Dancing with the Stars
3,4,Joey Lawrence,14.285714285714286,2006-10-03 2006-10-09,Joey Lawrence Dancing with the Stars
3,4,Mario Lopez,28.142857142857142,2006-10-03 2006-10-09,Mario Lopez Dancing with the Stars
3,4,Monique Coleman,,2006-10-03 2006-10-09,Monique Coleman Dancing with the Stars
3,4,Sara Evans,28.428571428571427,2006-10-03 2006-10-09,Sara Evans Dancing with the Stars
3,4,Shanna Moakler,14.285714285714286,2006-10-03 2006-10-09,Shanna Moakler Dancing with the Stars
3,4,Tucker Carlson,,2006-10-03 2006-10-09,Tucker Carlson Dancing with the Stars
3,4,Vivica A. Fox,,2006-10-03 2006-10-09,Vivica A. Fox Dancing with the Stars
3,4,Willa Ford,28.571428571428573,2006-10-03 2006-10-09,Willa Ford Dancing with the Stars
3,5,Emmitt Smith,,2006-10-10 2006-10-16,Emmitt Smith Dancing with the Stars
3,5,Harry Hamlin,,2006-10-10 2006-10-16,Harry Hamlin Dancing with the Stars
3,5,Jerry Springer,14.285714285714286,2006-10-10 2006-10-16,Jerry Springer Dancing with the Stars
