celebrity,wiki_title,date,views,season
Joe Amabile,Joe Amabile,20181102,195,27
Joe Amabile,Joe Amabile,20181103,156,27
Joe Amabile,Joe Amabile,20181104,169,27
Joe Amabile,Joe Amabile,20181105,211,27
Joe Amabile,Joe Amabile,20181106,1630,27
Joe Amabile,Joe Amabile,20181107,432,27
Joe Amabile,Joe Amabile,20181108,298,27
Joe Amabile,Joe Amabile,20181109,224,27
Joe Amabile,Joe Amabile,20181110,185,27
Joe Amabile,Joe Amabile,20181111,212,27
Joe Amabile,Joe Amabile,20181112,264,27
Joe Amabile,Joe Amabile,20181113,1687,27
Joe Amabile,Joe Amabile,20181114,297,27
Joe Amabile,Joe Amabile,20181115,186,27
Joe Amabile,Joe Amabile,20181116,140,27
Joe Amabile,Joe Amabile,20181117,148,27
Joe Amabile,Joe Amabile,20181118,181,27
Joe Amabile,Joe Amabile,20181119,256,27
Joe Amabile,Joe Amabile,20181120,1267,27
Joe Amabile,Joe Amabile,20181121,315,27
Joe Amabile,Joe Amabile,20181122,149,27
Joe Amabile,Joe Amabile,20181123,120,27
Joe Amabile,Joe Amabile,20181124,92,27
Joe Amabile,Joe Amabile,20181125,119,27
John Schneider,John Schneider,20180924,18,27
John Schneider,John Schneider,20180925,463,27
John Schneider,John Schneider,20180926,165,27
John Schneider,John Schneider,20180927,45,27
John Schneider,John Schneider,20180928,33,27
John Schneider,John Schneider,20180929,22,27
John Schneider,John Schneider,20180930,33,27
John Schneider,John Schneider,20181001,19,27
John Schneider,John Schneider,20181002,128,27
John Schneider,John Schneider,20181003,74,27
John Schneider,John Schneider,20181004,30,27
John Schneider,John Schneider,20181005,17,27
John Schneider,John Schneider,20181006,15,27
John Schneider,John Schneider,20181007,9,27
John Schneider,John Schneider,20181008,24,27
John Schneider,John Schneider,20181009,236,27
John Schneider,John Schneider,20181010,37,27
John Schneider,John Schneider,20181011,28,27
John Schneider,John Schneider,20181012,41,27
John Schneider,John Schneider,20181013,18,27
John Schneider,John Schneider,20181014,16,27
John Schneider,John Schneider,20181015,13,27
John Schneider,John Schneider,20181016,49,27
John Schneider,John Schneider,20181017,28,27
John Schneider,John Schneider,20181018,17,27
John Schneider,John Schneider,20181019,21,27
John Schneider,John Schneider,20181020,25,27
John Schneider,John Schneider,20181021,20,27
John Schneider,John Schneider,20181022,16,27
John Schneider,John Schneider,20181023,134,27
John Schneider,John Schneider,20181024,38,27
John Schneider,John Schneider,20181025,21,27
John Schneider,John Schneider,20181026,20,27
John Schneider,John Schneider,20181027,26,27
John Schneider,John Schneider,20181028,20,27
John Schneider,John Schneider,20181029,14,27
John Schneider,John Schneider,20181030,67,27
John Schneider,John Schneider,20181031,21,27
John Schneider,John Schneider,20181101,12,27
John Schneider,John Schneider,20181102,16,27
John Schneider,John Schneider,20181103,11,27
John Schneider,John Schneider,20181104,18,27
John Schneider,John Schneider,20181105,7,27
John Schneider,John Schneider,20181106,434,27
John Schneider,John Schneider,20181107,88,27
John Schneider,John Schneider,20181108,22,27
John Schneider,John Schneider,20181109,29,27
John Schneider,John Schneider,20181110,19,27
John Schneider,John Schneider,20181111,16,27
John Schneider,John Schneider,20181112,23,27
John Schneider,John Schneider,20181113,13,27
John Schneider,John Schneider,20181114,11,27
John Schneider,John Schneider,20181115,12,27
John Schneider,John Schneider,20181116,10,27
John Schneider,John Schneider,20181117,11,27
John Schneider,John Schneider,20181118,8,27
John Schneider,John Schneider,20181119,7,27
John Schneider,John Schneider,20181120,29,27
John Schneider,John Schneider,20181121,8,27
John Schneider,John Schneider,20181122,15,27
John Schneider,John Schneider,20181123,23,27
John Schneider,John Schneider,20181124,24,27
John Schneider,John Schneider,20181125,13,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20180924,1984,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20180925,24630,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20180926,8426,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20180927,2441,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20180928,1469,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20180929,1435,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20180930,1393,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181001,1309,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181002,8732,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181003,13069,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181004,2696,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181005,1658,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181006,1369,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181007,1286,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181008,1283,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181009,40423,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181010,7629,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181011,3744,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181012,2432,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181013,2390,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181014,1873,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181015,1767,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181016,9391,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181017,2355,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181018,1663,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181019,1388,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181020,1298,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181021,1289,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181022,1202,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181023,11452,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181024,2183,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181025,1370,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181026,1150,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181027,1155,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181028,1174,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181029,1451,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181030,16927,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181031,3074,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181101,1758,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181102,1598,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181103,1356,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181104,1329,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181105,1128,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181106,14800,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181107,2912,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181108,1810,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181109,1273,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181110,1305,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181111,1248,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181112,1226,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181113,51708,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181114,7405,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181115,3287,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181116,2280,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181117,2007,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181118,1835,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181119,2008,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181120,10312,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181121,2383,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181122,1539,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181123,1175,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181124,1148,27
Juan Pablo Di Pace,Juan Pablo Di Pace,20181125,1167,27
Mary Lou Retton,Mary Lou Retton,20180924,5120,27
Mary Lou Retton,Mary Lou Retton,20180925,121935,27
Mary Lou Retton,Mary Lou Retton,20180926,65970,27
Mary Lou Retton,Mary Lou Retton,20180927,10401,27
Mary Lou Retton,Mary Lou Retton,20180928,5974,27
Mary Lou Retton,Mary Lou Retton,20180929,5241,27
Mary Lou Retton,Mary Lou Retton,20180930,4826,27
Mary Lou Retton,Mary Lou Retton,20181001,3950,27
Mary Lou Retton,Mary Lou Retton,20181002,48003,27
Mary Lou Retton,Mary Lou Retton,20181003,31447,27
Mary Lou Retton,Mary Lou Retton,20181004,6274,27
Mary Lou Retton,Mary Lou Retton,20181005,4009,27
Mary Lou Retton,Mary Lou Retton,20181006,3281,27
Mary Lou Retton,Mary Lou Retton,20181007,2975,27
Mary Lou Retton,Mary Lou Retton,20181008,2535,27
Mary Lou Retton,Mary Lou Retton,20181009,63944,27
Mary Lou Retton,Mary Lou Retton,20181010,7858,27
Mary Lou Retton,Mary Lou Retton,20181011,5196,27
Mary Lou Retton,Mary Lou Retton,20181012,3465,27
Mary Lou Retton,Mary Lou Retton,20181013,2940,27
Mary Lou Retton,Mary Lou Retton,20181014,2561,27
